,metabolic_genes_ensg,metabolic_genes_genesymbol
0,ENSG00000167900,TK1
1,ENSG00000166548,TK2
2,ENSG00000160883,HK3
3,ENSG00000106633,GCK
4,ENSG00000156515,HK1
5,ENSG00000159399,HK2
6,ENSG00000156510,HKDC1
7,ENSG00000131482,G6PC1
8,ENSG00000152254,G6PC2
9,ENSG00000141349,G6PC3
10,ENSG00000105220,GPI
11,ENSG00000152556,PFKM
12,ENSG00000141959,PFKL
13,ENSG00000067057,PFKP
14,ENSG00000165140,FBP1
15,ENSG00000130957,FBP2
16,ENSG00000136872,ALDOB
17,ENSG00000109107,ALDOC
18,ENSG00000149925,ALDOA
19,ENSG00000111669,TPI1
20,ENSG00000105679,GAPDHS
21,ENSG00000111640,GAPDH
22,ENSG00000102144,PGK1
23,ENSG00000170950,PGK2
24,ENSG00000164708,PGAM2
25,ENSG00000172331,BPGM
26,ENSG00000171314,PGAM1
27,ENSG00000111674,ENO2
28,ENSG00000074800,ENO1
29,ENSG00000108515,ENO3
30,ENSG00000067225,PKM
31,ENSG00000143627,PKLR
32,ENSG00000151116,UEVLD
33,ENSG00000166800,LDHAL6A
34,ENSG00000171989,LDHAL6B
35,ENSG00000134333,LDHA
36,ENSG00000166796,LDHC
37,ENSG00000111716,LDHB
38,ENSG00000101911,PRPS2
39,ENSG00000229937,PRPS1L1
40,ENSG00000147224,PRPS1
41,ENSG00000160211,G6PD
42,ENSG00000049239,H6PD
43,ENSG00000130313,PGLS
44,ENSG00000142657,PGD
45,ENSG00000153574,RPIA
46,ENSG00000151005,TKTL2
47,ENSG00000163931,TKT
48,ENSG00000007350,TKTL1
49,ENSG00000197713,RPE
50,ENSG00000235376,RPEL1
51,ENSG00000177156,TALDO1
52,ENSG00000091140,DLD
53,ENSG00000163114,PDHA2
54,ENSG00000168291,PDHB
55,ENSG00000131828,PDHA1
56,ENSG00000150768,DLAT
57,ENSG00000110435,PDHX
58,ENSG00000173599,PC
59,ENSG00000124253,PCK1
60,ENSG00000062485,CS
61,ENSG00000122729,ACO1
62,ENSG00000100412,ACO2
63,ENSG00000101365,IDH3B
64,ENSG00000166411,IDH3A
65,ENSG00000067829,IDH3G
66,ENSG00000182054,IDH2
67,ENSG00000119689,DLST
68,ENSG00000105953,OGDH
69,ENSG00000163541,SUCLG1
70,ENSG00000172340,SUCLG2
71,ENSG00000073578,SDHA
72,ENSG00000204370,SDHD
73,ENSG00000117118,SDHB
74,ENSG00000143252,SDHC
75,ENSG00000091483,FH
76,ENSG00000146701,MDH2
77,ENSG00000082212,ME2
78,ENSG00000151376,ME3
79,ENSG00000065833,ME1
80,ENSG00000131473,ACLY
81,ENSG00000014641,MDH1
82,ENSG00000138400,MDH1B
83,ENSG00000183048,SLC25A10
84,ENSG00000108528,SLC25A11
85,ENSG00000138413,IDH1
86,ENSG00000180817,PPA1
87,ENSG00000107902,LHPP
88,ENSG00000166136,NDUFB8
89,ENSG00000184983,NDUFA6
90,ENSG00000167792,NDUFV1
91,ENSG00000178127,NDUFV2
92,ENSG00000198786,MT-ND5
93,ENSG00000140990,NDUFB10
94,ENSG00000174886,NDUFA11
95,ENSG00000212907,MT-ND4L
96,ENSG00000131495,NDUFA2
97,ENSG00000115286,NDUFS7
98,ENSG00000170906,NDUFA3
99,ENSG00000109390,NDUFC1
100,ENSG00000198888,MT-ND1
101,ENSG00000213619,NDUFS3
102,ENSG00000186010,NDUFA13
103,ENSG00000065518,NDUFB4
104,ENSG00000119421,NDUFA8
105,ENSG00000130414,NDUFA10
106,ENSG00000023228,NDUFS1
107,ENSG00000165264,NDUFB6
108,ENSG00000099795,NDUFB7
109,ENSG00000158864,NDUFS2
110,ENSG00000198840,MT-ND3
111,ENSG00000090266,NDUFB2
112,ENSG00000198763,MT-ND2
113,ENSG00000125356,NDUFA1
114,ENSG00000168653,NDUFS5
115,ENSG00000136521,NDUFB5
116,ENSG00000198695,MT-ND6
117,ENSG00000198886,MT-ND4
118,ENSG00000128609,NDUFA5
119,ENSG00000004779,NDUFAB1
120,ENSG00000110717,NDUFS8
