,phase,S_score,G2M_score
SRR4216351,S,0.13056740361099517,-0.07142876458820457
SRR4216352,G1,-0.20813589735060534,-0.05116842821018874
SRR4216353,G2M,-0.328533580866654,0.008640381639685057
SRR4216354,G1,-0.24310103738077354,-0.29157580875900035
SRR4216355,G1,-0.12469969231573708,-0.03303051042820471
SRR4216356,G1,-0.0612485867974335,-0.14492128642478885
SRR4216357,S,0.29213424353229256,0.0394639470903797
SRR4216358,G1,-0.05842495900360778,-0.2958069987435078
SRR4216359,S,0.09846573474863707,0.07850298463360716
SRR4216360,S,0.09717425492620624,-0.10569355438677364
SRR4216361,G1,-0.00652340717064348,-0.04085671352876097
SRR4216362,S,0.28354080003418103,0.15319101089360276
SRR4216363,S,0.29759053432677407,0.15649952279213974
SRR4216364,G1,-0.4476175685205612,-0.4429233997347437
SRR4216365,G2M,-0.08271119118004155,0.11488452810824334
SRR4216366,S,0.14351924193617271,-0.2465890030798228
SRR4216367,S,0.19575570429745004,0.15059982455428345
SRR4216368,G2M,0.37054625699123744,0.7359486734491223
SRR4216369,G1,-0.40213233534949555,-0.44709822382040254
SRR4216370,S,0.31499344847400823,-0.3708523969013937
SRR4216371,S,0.2550726201576381,0.21375738789293264
SRR4216372,G1,-0.07210040379880633,-0.2446383066854797
SRR4216373,G1,-0.24824498259189054,-0.2560853876619258
SRR4216374,S,0.03404962846067794,-0.035464384274467964
SRR4216375,S,0.6260480140149176,-0.09612420560265122
SRR4216376,S,0.20216404171861568,-0.3251627216751458
SRR4216377,S,0.5380499486599712,0.004990966551384091
SRR4216378,S,0.02114332373950334,-0.09403642915937915
SRR4216379,S,0.22014190571161762,0.04016030017118788
SRR4216380,G1,-0.19663536150915994,-0.21848563761629936
SRR4216381,S,0.21024156318581122,0.1454721330389126
SRR4216382,S,0.5348806186052542,0.2609907190133416
SRR4216383,S,0.014204085691990498,-0.022765949712028943
SRR4216384,G1,-0.27863595918142603,-0.09005877530361595
SRR4216385,S,0.6022201914529288,-0.19250867887876555
SRR4216386,G1,-0.20615602348376827,-0.23919143463049275
SRR4216387,G1,-0.24765990834494134,-0.08617197853356329
SRR4216388,S,0.044043385618235176,-0.2668419552801464
SRR4216389,G1,-0.1933090481599038,-0.013442169290279637
SRR4216390,S,0.24067328335158056,-0.300803580623518
SRR4216391,G1,-0.08852603892034128,-0.21487848010203936
SRR4216392,G2M,-0.28590275855635217,0.05603748582641188
SRR4216393,G1,-0.13725150022514732,-0.17121004262018802
SRR4216394,G1,-0.3071124459435902,-0.17089615602444652
SRR4216395,G2M,0.47622803115096124,0.9404458066028893
SRR4216396,G1,-0.09591169493653584,-0.16963220404660773
SRR4216397,S,0.028739600880727023,0.001359549009156913
SRR4216398,S,0.004075873021756049,-0.26191328860113516
SRR4216399,S,0.2885110372249773,-0.034682768613693016
SRR4216400,G2M,0.04308585382690944,0.05026482854228176
SRR4216401,S,0.04550118923588298,-0.24064884954319765
SRR4216402,S,0.1798784049044544,0.011664129113496902
SRR4216403,G1,-0.04047491866599162,-0.07640715384461072
SRR4216404,S,0.19675956214881252,0.18818697429016673
SRR4216405,S,0.08195984126273614,-0.2054237158041804
SRR4216406,G1,-0.24137700035152954,-0.19322301882022086
SRR4216407,G1,-0.2638990029521372,-0.19516240455360578
SRR4216408,G1,-0.10250118556128252,-0.10203814943194822
SRR4216409,G1,-0.3678903277594736,-0.39524113083077517
SRR4216410,S,0.2317541019235434,-0.062118890290115525
SRR4216411,G1,-0.04488349809745529,-0.19280757464306353
SRR4216412,S,1.4710989380738366,0.3913706909828485
SRR4216413,S,0.3382457180253122,-0.09309527761487724
SRR4216414,S,0.40018835086464244,0.19805117755548252
SRR4216415,S,0.2936712777811772,-0.18982864294399393
SRR4216416,S,2.401822200568744,1.146372951756073
SRR4216417,S,0.23162256812461135,-0.22891114935025247
SRR4216418,S,0.42813336645350386,-0.1338699426851695
SRR4216419,G2M,-0.006219889023473146,0.170445137596555
SRR4216420,G2M,0.0009622309165806531,0.002645705029307388
SRR4216421,G1,-0.08478489783019416,-0.06105573199770209
SRR4216422,G2M,-0.13304406399482227,0.04157444376425934
SRR4216423,S,0.03167673383134728,-0.035967102905615334
SRR4216424,G1,-0.003583145034657287,-0.1645509401614711
SRR4216425,S,0.028931990169763555,-0.1510755635794232
SRR4216426,S,0.057528532951660716,0.021858717273092187
SRR4216427,S,0.5447224904951478,-0.023006243309498187
SRR4216428,G1,-0.4168834028572872,-0.3445457178209137
SRR4216429,S,0.17653189515546153,-0.2210825540840835
SRR4216430,S,0.4055980910164052,-0.38827745508447264
SRR4216431,S,0.9019244199110608,0.2576497669818629
SRR4216432,G2M,-0.026564102664794587,0.06838657899996448
SRR4216433,G1,-0.21121192720379522,-0.39585863149158396
SRR4216434,S,0.2094227422142616,-0.15902140893479277
SRR4216435,S,0.5267430544233737,0.03648739221374653
SRR4216436,S,0.05199147366929324,-0.15144281319517738
SRR4216437,G2M,-0.1903039436564915,0.17128043574419693
SRR4216438,S,0.7813936751664838,0.09190076967598437
SRR4216439,S,0.1331373321131093,-0.29011109323411854
SRR4216440,S,0.057344296013971396,-0.03373430138782274
SRR4216441,G1,-0.24716938126812404,-0.11811480049188638
SRR4216442,S,0.17122767678087825,-0.1506056368783366
SRR4216443,S,0.9816916005632139,0.18231857257062978
SRR4216444,G1,-0.017788202848827428,-0.3407973393809648
SRR4216445,G2M,-0.09895027402338274,0.17005783691493925
SRR4216446,G1,-0.19233663402286805,-0.14698445131696003
SRR4216447,S,0.3961717976152245,-0.025963976218304263
SRR4216448,S,0.24083501924344186,-0.0958225127224741
SRR4216449,G1,-0.2910583192372408,-0.23206254054543995
SRR4216450,G2M,0.27714266401397314,0.35608119645406733
SRR4216451,S,0.37539164439148676,-0.04027258783872123
SRR4216452,G1,-0.031966947058786443,-0.2483362881332296
SRR4216453,S,0.09691137875834199,-0.1716032602882398
